sequence_path,label,video_id
dataset/sequence\non_fighting\no66_xvid_person_3_seq_000.npy,Non-Fighting,no66
dataset/sequence\fighting\fi17_xvid_person_1_seq_000.npy,Fighting,fi17
dataset/sequence\fighting\fi30_xvid_person_1_seq_000.npy,Fighting,fi30
dataset/sequence\non_fighting\no82_xvid_person_4_seq_004.npy,Non-Fighting,no82
dataset/sequence\fighting\fi17_xvid_person_3_seq_003.npy,Fighting,fi17
dataset/sequence\fighting\fi3_xvid_person_1_seq_003.npy,Fighting,fi3
dataset/sequence\non_fighting\no83_xvid_person_1_seq_003.npy,Non-Fighting,no83
dataset/sequence\non_fighting\no82_xvid_person_2_seq_002.npy,Non-Fighting,no82
dataset/sequence\non_fighting\no86_xvid_person_2_seq_003.npy,Non-Fighting,no86
dataset/sequence\fighting\fi31_xvid_person_3_seq_001.npy,Fighting,fi31
dataset/sequence\fighting\fi28_xvid_person_1_seq_002.npy,Fighting,fi28
dataset/sequence\non_fighting\no39_xvid_person_1_seq_002.npy,Non-Fighting,no39
dataset/sequence\fighting\fi26_xvid_person_2_seq_001.npy,Fighting,fi26
dataset/sequence\non_fighting\no92_xvid_person_1_seq_000.npy,Non-Fighting,no92
dataset/sequence\fighting\fi2_xvid_person_3_seq_001.npy,Fighting,fi2
dataset/sequence\fighting\fi26_xvid_person_1_seq_002.npy,Fighting,fi26
dataset/sequence\non_fighting\no111_xvid_person_2_seq_001.npy,Non-Fighting,no111
dataset/sequence\fighting\fi18_xvid_person_1_seq_002.npy,Fighting,fi18
dataset/sequence\fighting\fi2_xvid_person_3_seq_000.npy,Fighting,fi2
dataset/sequence\non_fighting\no90_xvid_person_2_seq_000.npy,Non-Fighting,no90
dataset/sequence\non_fighting\no74_xvid_person_3_seq_006.npy,Non-Fighting,no74
dataset/sequence\fighting\fi23_xvid_person_3_seq_008.npy,Fighting,fi23
dataset/sequence\non_fighting\no89_xvid_person_2_seq_001.npy,Non-Fighting,no89
dataset/sequence\fighting\fi10_xvid_person_2_seq_001.npy,Fighting,fi10
dataset/sequence\fighting\fi26_xvid_person_2_seq_005.npy,Fighting,fi26
dataset/sequence\non_fighting\no86_xvid_person_1_seq_002.npy,Non-Fighting,no86
dataset/sequence\non_fighting\no74_xvid_person_3_seq_009.npy,Non-Fighting,no74
dataset/sequence\non_fighting\no86_xvid_person_2_seq_001.npy,Non-Fighting,no86
dataset/sequence\non_fighting\no2_xvid_person_1_seq_002.npy,Non-Fighting,no2
dataset/sequence\non_fighting\no23_xvid_person_2_seq_000.npy,Non-Fighting,no23
dataset/sequence\non_fighting\no69_xvid_person_2_seq_002.npy,Non-Fighting,no69
dataset/sequence\non_fighting\no111_xvid_person_1_seq_006.npy,Non-Fighting,no111
dataset/sequence\fighting\fi3_xvid_person_3_seq_000.npy,Fighting,fi3
dataset/sequence\non_fighting\no71_xvid_person_1_seq_001.npy,Non-Fighting,no71
dataset/sequence\non_fighting\no92_xvid_person_1_seq_002.npy,Non-Fighting,no92
dataset/sequence\fighting\fi18_xvid_person_1_seq_001.npy,Fighting,fi18
dataset/sequence\fighting\fi3_xvid_person_1_seq_001.npy,Fighting,fi3
dataset/sequence\non_fighting\no39_xvid_person_1_seq_001.npy,Non-Fighting,no39
dataset/sequence\fighting\fi17_xvid_person_1_seq_002.npy,Fighting,fi17
dataset/sequence\non_fighting\no111_xvid_person_3_seq_007.npy,Non-Fighting,no111
dataset/sequence\non_fighting\no2_xvid_person_1_seq_001.npy,Non-Fighting,no2
